nome_cliente;date;alunos_ativos;total_em_recibo_venda;total_em_recebiveis;total_valor_cartao_credito_maquina;total_valor_cartao_credito_recorrencia;total_conta_pagar
M1 FITNESS CENTER;2021/10;0;0;0;0;0;0
TOPLIFE ACADEMIA;2021/10;0;0;701;701;0;0
Nobre Arte Academia de Boxe;2021/10;0;0;864;864;0;6790
Academia Fitness Plus;2021/10;0;0;0;0;0;0
EQUILIBRIUM FERRARIA;2021/10;0;0;0;0;0;0
CrossFit Vingadores;2021/10;0;0;0;0;0;0
CF Piumhi;2021/10;0;0;0;0;0;0
ACADEMIA SMART FIT;2021/10;0;0;233;233;0;0
Black Box Training;2021/10;0;0;38;0;38;0
CROSSFIT HARDBREAK;2021/10;0;0;251;251;0;7361
ARENA ONE ACADEMIA;2021/10;0;0;659;659;0;0
PROFIT STUDIO;2021/10;0;0;2607;2607;0;39767
Academia Oxy Place;2021/10;0;0;0;0;0;0
Break Limits;2021/10;0;0;0;0;0;0
Corpo funcional cross;2021/10;0;0;0;0;0;0
HIIT FITNESS;2021/10;0;0;0;0;0;6907
K2 Itacorubi;2021/10;0;0;0;0;0;3753
Tribo Fitness Chácara;2021/10;0;0;242;242;0;0
Eik? Artes Marciais;2021/10;0;0;0;0;0;1769
Academia Quality Body;2021/10;0;0;4509;4344;0;0
CROSSFIT FIRE HAWKS;2021/10;0;0;1455;1455;0;3849
studio fitness monise glatzl;2021/10;0;0;628;0;0;16149
Viva Pilates SP;2021/10;0;0;0;0;0;0
Vibe Cross Training;2021/10;0;0;0;0;0;0
EVOLUA IÇARA;2021/10;0;0;0;0;0;3190
TRIBO GUARUJÁ;2021/10;0;0;582;145;436;0
Focus Academia;2021/10;0;0;71;71;0;0
Santé Treinamento Funcional;2021/10;0;0;0;0;0;0
Head Office;2021/10;0;0;78;0;0;0
Academia La Santé!;2021/10;0;0;0;0;0;0
Tribo Fitness Mesquita;2021/10;0;0;139;139;0;0
Elite Cross;2021/10;0;0;0;0;0;0
Clínica Fitness D2;2021/10;0;0;0;0;0;0
Novo Futuro Studio;2021/10;0;0;0;0;0;0
MOV CLUBE FITNESS;2021/10;0;0;164;164;0;0
TIA ILKA - ALPHAVILLE;2021/10;0;0;1636;1636;0;3708
PRIX;2021/10;0;0;0;0;0;0
Evolua Morro da Fumaça;2021/10;0;0;0;0;0;1145
Yôga School;2021/10;0;0;56;0;56;0
UPLAY FITNESS - AV BRASILIA;2021/10;0;0;10598;10501;97;0
TIA ILKA - UNIDADE OESTE;2021/10;0;0;2850;2850;0;4235
Academia World Fitness;2021/10;0;0;0;0;0;0
Movimento A Instituto de Saúde Física e Mental;2021/10;0;0;0;0;0;0
MegaRace Centro Fitness;2021/10;0;0;0;0;0;20621
Hama Pilates Premium;2021/10;0;0;1;1;0;4607
max training;2021/10;0;0;0;0;0;0
DOMINIO FITNESS;2021/10;0;0;0;0;0;9562
H2o Studio - Treinamento funcional e Pilates;2021/10;0;0;0;;;0
Crossfit Maringá 2;2021/10;0;0;0;;;3198
Shamu Natação;2021/10;0;0;0;0;0;0
WA Danças - Unidade Paulista;2021/10;0;0;383;383;0;0
Penduricália Acrobacia Aérea;2021/10;0;0;0;0;0;4027
CROSSTAINER;2021/10;0;0;710;511;199;3383
Unidade Glória - RTesser Life Studio;2021/10;0;0;0;0;0;0
Meu Personal de Bolso;2021/10;0;0;0;0;0;0
BOX SE7E;2021/10;0;0;0;0;0;0
JAB L.U.T.A.S.;2021/10;0;0;3742;3523;0;19080
Akacia Amarela;2021/10;0;0;0;0;0;0
Plié Namastê Studio;2021/10;0;0;0;0;0;0
FORMA FITNESS ACADEMIA;2021/10;0;0;0;0;0;0
Primal Cross;2021/10;0;0;0;0;0;0
Steel Giants;2021/10;0;0;822;0;822;1005
Armel CrossFit;2021/10;0;0;0;0;0;0
Split Pole Studio;2021/10;0;0;0;0;0;0
CROSSFIT PARAGUAÇU;2021/10;0;0;511;511;0;1949
Studio Latos Pilates;2021/10;0;0;380;0;0;0
Tribo - Vale do Sol;2021/10;0;0;0;0;0;0
Viva Bem;2021/10;0;0;0;0;0;0
CT Evox;2021/10;0;0;0;0;0;0
Tribo fitness Unidade Curvelo;2021/10;0;0;0;0;0;0
Pratique Cross;2021/10;0;0;0;0;0;1578
Academia Body Fit - Unidade 2;2021/10;0;0;0;0;0;0
13 PHD SPORTS - VIP - CAJURU 1630;2021/10;0;0;0;0;0;0
KOR CROSSFIT 2;2021/10;0;0;0;0;0;0
CF SOLDIERS;2021/10;0;0;0;0;0;20276
NEOFITNESS;2021/10;0;0;9990;5221;0;0
Soc Emp Alive Studios LTDA;2021/10;0;0;0;0;0;0
Instituto Verbalize;2021/10;0;0;0;0;0;0
LIFIT TRAINING - A. RATOS;2021/10;0;0;0;0;0;2668
Barong Crossfit;2021/10;0;0;349;174;174;0
Flashover Bancários;2021/10;0;0;0;;;2663
Núcleo 7 Esferas do Tao;2021/10;0;0;0;0;0;216
Studio Personal Trainer Mogi - Adão Silva;2021/10;0;0;1256;1089;0;0
Gym Pilates - Alphaville;2021/10;0;0;0;0;0;0
CT SEARA - Vôlei de praia;2021/10;0;0;0;0;0;0
ABS Studio Personalizado;2021/10;0;0;0;0;0;0
Acqua Fitness;2021/10;0;0;13692;13422;0;0
Pura Vida Pilates;2021/10;0;0;0;0;0;0
PROLOGUE Box CrossFit;2021/10;0;0;0;0;0;5891
Crossfire;2021/10;0;0;1095;1095;0;1650
BABY GYM - ACADEMIA PARA BEBÊS;2021/10;0;0;0;0;0;0
Corpilates – Equilíbrio e Saúde;2021/10;0;0;1870;1870;0;0
Alive Natação;2021/10;0;0;0;0;0;0
Up Fit Studio Personal Trainer;2021/10;0;0;0;0;0;571
Clube Náutico Riachuelo;2021/10;0;0;0;0;0;76
Juninho Tennis;2021/10;0;0;0;0;0;5905
CENTRAL FITNESS;2021/10;0;0;0;;;0
Vsa fitness;2021/10;0;0;0;0;0;0
Tribo Fitness São Carlos;2021/10;0;0;0;0;0;0
Maisstreino;2021/10;0;0;249;0;249;0
11 PHD SPORTS - UBERABA 1833;2021/10;0;0;0;0;0;5000
HJ Fitness;2021/10;0;0;3732;3732;0;0
Osy Fit - Maracana;2021/10;0;0;2174;2174;0;0
Oasis Academia;2021/10;0;0;0;0;0;0
TRIBO FITNESS ANGRA;2021/10;0;0;0;0;0;0
Cityvida Capão Bonito;2021/10;0;0;211;211;0;1179
Power Training;2021/10;0;0;0;0;0;399
Boa forma studio personal e treinamento funcional;2021/10;0;0;0;0;0;0
Cross1Fit;2021/10;0;0;219;0;219;421
CFP9 CasaShopping;2021/10;0;0;0;0;0;57613
Academia Ramirez;2021/10;0;0;0;0;0;0
MAFIA CF CROSSTRAINING;2021/10;0;0;0;0;0;0
BABY GYM;2021/10;0;0;0;0;0;0
AKTIVE CENTRO DE SAUDE E BEM ESTAR;2021/10;0;0;0;0;0;590
EMAGREFIT;2021/10;0;0;0;0;0;8262
KOR CrossFit;2021/10;0;0;0;0;0;24763
Academia Bio Fitness;2021/10;0;0;12657;12657;0;55185
centro de treinamento body & soul;2021/10;0;0;0;0;0;0
Tribo fitness unidade Belém;2021/10;0;0;0;0;0;0
CT BOLA PRA CIMA;2021/10;0;0;0;0;0;0
Kahu CrossFit;2021/10;0;0;0;0;0;0
Elleven Futebol Studio;2021/10;0;0;932;754;0;0
STUDIO BROOK FIGHTER;2021/10;0;0;0;0;0;0
Saúde e fitness;2021/10;0;0;0;0;0;625
VIVA ACADEMIA DE NATAÇÃO E HIDROGINÁSTICA;2021/10;0;0;160;160;0;0
UNIDADE 1 ITAPARK;2021/10;0;0;5059;5059;0;0
JSJ ESPORTES E ENTRETENIMENTO LTDA;2021/10;0;0;2215;1465;0;12624
MOREIRA FIT I;2021/10;0;0;0;0;0;75
ACADEMIA COLISEO;2021/10;0;0;0;;;4623
Elite fitness e Lutas;2021/10;0;0;0;0;0;0
Studio Angelo Molina;2021/10;0;0;0;0;0;0
UPEX FIT;2021/10;0;0;6534;6146;0;49375
SOU PILATES;2021/10;0;0;0;0;0;4883
2103;2021/10;0;0;0;;;
Intense Fitness Itabira;2021/10;0;0;0;0;0;119
Unit55 CrossFit;2021/10;0;0;0;0;0;24739
CROSSBOX;2021/10;0;0;0;0;0;0
OSY FIT - Guaraituba;2021/10;0;0;1435;1435;0;0
Centro de Treinamento Team Cruz;2021/10;0;0;0;0;0;0
ARENA EKO;2021/10;0;0;0;0;0;9094
I9 CROSSFIT;2021/10;0;0;234;234;0;0
Estúdio Andréa Schaidt;2021/10;0;0;0;0;0;0
Bravus centro de treinamento;2021/10;0;0;0;0;0;0
Fit House;2021/10;0;0;0;0;0;1994
Centro de Natação Camboriú;2021/10;0;0;0;;;8015
Grupo Joyce Fitness;2021/10;0;0;173;173;0;23133
CFJM;2021/10;0;0;0;0;0;0
ACADEMIA R2;2021/10;0;0;21811;18246;124;0
Studio Funcional 360 Studio;2021/10;0;0;296;296;0;0
Studio Nataraja Flow Yoga;2021/10;0;0;0;0;0;3930
Tribo fitness São luis Maranhão;2021/10;0;0;0;0;0;0
BIOTRAINING;2021/10;0;0;129;129;0;0
Academia Black Bull Fit;2021/10;0;0;272;272;0;0
Vitta Physio;2021/10;0;0;0;0;0;0
Arena;2021/10;0;0;0;0;0;0
Vessel CrossFit;2021/10;0;0;0;0;0;7700
Studio Core - Saúde & Performance;2021/10;0;0;0;0;0;856
BODYFIT - Movimente-se!;2021/10;0;0;0;0;0;0
CROSSFIT ESTIVADORES;2021/10;0;0;2080;1859;0;4880
Focus Gym;2021/10;0;0;0;0;0;0
EDER PIRES RUN & FITNESS ASSESSORIA;2021/10;0;0;0;0;0;450
Crossfit 6450;2021/10;0;0;0;0;0;0
Cross Let's Wod Americana;2021/10;0;0;1019;1019;0;0
Bodytrend;2021/10;0;0;0;0;0;0
Extremo vigor academia;2021/10;0;0;0;0;0;0
ATP ENERGY ACADEMIA;2021/10;0;0;183;183;0;18321
Fort Cross;2021/10;0;0;0;0;0;11224
Academia Vita FIT;2021/10;0;0;0;0;0;597
HI Power Fitness Center;2021/10;0;0;0;0;0;8044
Crossfit 79;2021/10;0;0;616;0;616;0
Tubarão CrossFit;2021/10;0;0;1753;1753;0;7740
Crossfit Invictus MG;2021/10;0;0;208;208;0;0
RIP HUMAN PERFORMANCE - ÁGUA VERDE;2021/10;0;0;0;0;0;0
STUDIO ÃNANDDA;2021/10;0;0;648;0;648;1400
CrossFit Guepardo;2021/10;0;0;2139;2139;0;49127
Academia Vibe;2021/10;0;0;0;0;0;0
32 PHD SPORTS - JARDIM DA AMERICAS;2021/10;0;0;0;0;0;926
Musculação Estivadores;2021/10;0;0;1475;1475;0;0
CrossTx;2021/10;0;0;0;0;0;0
CROSSFIT LP;2021/10;0;0;377;377;0;9443
OverFit;2021/10;0;0;156;156;0;3290
Crossfit Caçadores;2021/10;0;0;0;0;0;0
SER ATIVO - STUDIO E ASSESSORIA ESPORTIVA;2021/10;0;0;0;0;0;0
26 PHD SPORTS - Boqueirão 2647;2021/10;0;0;0;0;0;0
Mangata Crossfit;2021/10;0;0;233;0;0;0
Arbo Crossfit;2021/10;0;0;223;223;0;0
Muscle Room;2021/10;0;0;196;196;0;0
Yoga OM;2021/10;0;0;0;0;0;0
Eiger Crossfit;2021/10;0;0;0;0;0;14482
Pilates OldSchool;2021/10;0;0;0;0;0;0
Brolex Body Studio;2021/10;0;0;10695;0;0;14149
Academia Force Fit;2021/10;0;0;334;334;0;0
ACADEMIA DUQUE DE CAXIAS;2021/10;0;0;0;0;0;0
Studio Gil Pilates;2021/10;0;0;0;0;0;0
CROSSFIT CRISTO REI;2021/10;0;0;0;0;0;0
CARDIO FITNESS TREINAMENTO FUNCIONAL;2021/10;0;0;0;0;0;0
Acqua life baby&kids;2021/10;0;0;0;0;0;14934
Personal Diogo Machado;2021/10;0;0;0;0;0;0
Studio Evolution Fitness;2021/10;0;0;1681;1131;0;0
Condá CrossFit;2021/10;0;0;0;0;0;13276
Prime Fit;2021/10;0;0;988;988;0;0
Baby Gym Bento;2021/10;0;0;0;0;0;0
cosenza team;2021/10;0;0;426;426;0;0
Crossfit Beach 787;2021/10;0;0;892;0;892;1891
Rizerva Zen;2021/10;0;0;4319;0;0;0
Reino CrossFit;2021/10;0;0;0;0;0;19629
Espaço One;2021/10;0;0;0;0;0;467
5FTraining;2021/10;0;0;0;0;0;18104
Fisiform;2021/10;0;0;7780;3439;0;0
Academia Mahatma;2021/10;0;0;11286;10653;0;0
PRIME SHAPE;2021/10;0;0;190;190;0;0
Corpus Cristo Rei;2021/10;0;0;7209;7209;0;0
ACADEMIA MC SPORTS;2021/10;0;0;10433;8875;0;19680
Happiness Academia em Movimento;2021/10;0;0;2006;1769;237;11768
CF Blackfoxx;2021/10;0;0;546;546;0;0
Crossfit Locomotiva;2021/10;0;0;1317;1317;0;0
ACADEMIA LIFE FITNESS;2021/10;0;0;0;0;0;0
ACADEMIA SKY BLUE;2021/10;0;0;146;75;71;0
Crossfit High Pulse - Matriz;2021/10;0;0;666;666;0;0
ESTÚDIO PERSONALE;2021/10;0;0;0;0;0;0
CROSSFIT SCAR;2021/10;0;0;225;0;0;0
Studio Rafael Alvares metodologia de treinamento fisico;2021/10;0;0;0;0;0;0
05 PHD SPORTS - PORTÃO 2983;2021/10;0;0;0;0;0;13814
STUDIO LABFIT;2021/10;0;0;0;0;0;0
Crossfit IG;2021/10;0;0;1775;650;0;0
ESYSP Estudio de Yoga São Paulo;2021/10;0;0;0;0;0;122
King of Kings CrossFit;2021/10;0;0;0;0;0;0
Infante Crossfit;2021/10;0;0;330;0;330;0
Pilates Equipe Atlética;2021/10;0;0;0;0;0;0
ESTIVADORES FRG;2021/10;0;0;0;0;0;0
Dynamo 1;2021/10;0;0;1145;126;363;163154
Go fit Academia;2021/10;0;0;0;0;0;0
UM CrossFit;2021/10;0;0;540;540;0;4150
Academia Reset;2021/10;0;0;0;0;0;0
Box Cross C3;2021/10;0;0;0;0;0;0
MET Treinamento Físico Funcional;2021/10;0;0;1018;1018;0;0
Carpe Diem Studio;2021/10;0;0;0;0;0;0
Milhas Assessoria Esportiva;2021/10;0;0;1397;1397;0;0
CROSSFIT MARINGA;2021/10;0;0;1479;1377;0;0
FONTOURA PERSONAL;2021/10;0;0;0;0;0;0
Crossfit 828;2021/10;0;0;152;152;0;15783
Studio Wings pole aerials dance;2021/10;0;0;0;0;0;5662
Champions Box;2021/10;0;0;255;255;0;0
Personal Place;2021/10;0;0;0;0;0;0
Crossfit High Pulse - Linha Verde;2021/10;0;0;3325;3325;0;0
Crossfit High Pulse - Maestro;2021/10;0;0;0;0;0;0
Red Dança e Comportamento;2021/10;0;0;0;0;0;0
Eleven Fit;2021/10;0;0;0;0;0;56577
CFT OLYMPUS;2021/10;0;0;0;0;0;0
UNIDADE 2 ALMIRANTE;2021/10;0;0;5234;5174;0;0
ESTUDIO MAIS PILATES;2021/10;0;0;616;616;0;0
Top Fit Saúde e Performance;2021/10;0;0;0;0;0;0
Touros Fit;2021/10;0;0;0;0;0;0
Cross Health Treinamento Especializado;2021/10;0;0;0;0;0;0
Hatha Vinyasa Yoga por Camila Reitz;2021/10;0;0;0;0;0;2487
P1 Fitness Center;2021/10;0;0;456;340;116;8379
CrossFit Congonhas;2021/10;0;0;0;0;0;0
Marhaba Dança;2021/10;0;0;299;0;0;2850
Crossfit High Pulse - Araucária;2021/10;0;0;0;0;0;0
Crossfit High Pulse - Alphaville;2021/10;0;0;0;;;0
Hora Fitness;2021/10;0;0;0;0;0;0
Brooklyn Functional GYM;2021/10;0;0;0;0;0;0
NAXOS TRAINING;2021/10;0;0;940;940;0;0
Brutu´s Cross training;2021/10;0;0;0;0;0;0
HEAD COACH;2021/10;0;0;0;0;0;111
Fisioprev personal;2021/10;0;0;0;0;0;12153
Crossfit Iracema;2021/10;0;0;0;0;0;15351
Crossfit High Pulse - Guarapuava;2021/10;0;0;0;0;0;9134
CrossFit Selvagem;2021/10;0;0;0;0;0;0
ASSOCIAÇÃO ATLÉTICA COOPAVEL;2021/10;0;0;0;0;0;0
Crossfit estrada Real;2021/10;0;0;0;0;0;0
Roma Academia;2021/10;0;0;0;0;0;0
Crossfit Osasco;2021/10;0;0;0;0;0;0
AdarshaYoga;2021/10;0;0;0;0;0;0
On Brasilia;2021/10;0;0;419;419;0;0
STUDIO TELMA MENEZES Studio 2;2021/10;0;0;0;0;0;8811
Crossfit High Pulse - Paranaguá;2021/10;0;0;0;0;0;0
sparta cross;2021/10;0;0;0;0;0;0
CrossFit Friburgo;2021/10;0;0;810;640;0;2259
INOVE ACADEMIA;2021/10;0;0;0;0;0;194
Lucas Silva Personal Trainer e Coach de emagrecimento;2021/10;0;0;0;0;0;0
CROSSFIT BLACK HOUSE;2021/10;0;0;0;0;0;802
Box Aeroporto - Marília;2021/10;0;0;0;0;0;0
CrossFit RedCore;2021/10;0;0;0;0;0;3502
UPLAY FITNESS - MARINGÁ;2021/10;0;0;2212;1888;0;42320
Gabriel Graciani;2021/10;0;0;0;0;0;0
Mutação Crossfit;2021/10;0;0;1695;1241;175;120
Taurus Box;2021/10;0;0;255;255;0;4500
Crossfute;2021/10;0;0;0;0;0;0
STUDIO 1;2021/10;0;0;0;0;0;0
Vassalos CrossFit;2021/10;0;0;0;0;0;0
Polar Fit Club;2021/10;0;0;0;0;0;12625
X-RUN Team;2021/10;0;0;0;0;0;0
Arena Sparta;2021/10;0;0;0;0;0;0
CrossFit Pinheiros;2021/10;0;0;320;0;320;0
Parque 7788 CrossFit;2021/10;0;0;2550;2550;0;0
CrossFit Vivá;2021/10;0;0;710;0;0;0
Academia Aperfeisuando;2021/10;0;0;0;0;0;0
Zaganelli jiu-jitsu Vitoria -ES;2021/10;0;0;0;0;0;0
Crossfit High Pulse - Irati;2021/10;0;0;159;159;0;0
CrossFit Kruger;2021/10;0;0;0;0;0;17508
CT Malvadeza;2021/10;0;0;0;0;0;0
CrossFit Brusque;2021/10;0;0;0;0;0;0
Crossfit Piracicaba;2021/10;0;0;10416;10416;0;0
CROSSFIT BUTANTA;2021/10;0;0;0;0;0;0
LIQUID ONE;2021/10;0;0;0;0;0;0
CrossFit GU Gama;2021/10;0;0;2079;2079;0;0
LACQUA;2021/10;0;0;0;0;0;0
META TREINE;2021/10;0;0;0;0;0;0
Cia Fit;2021/10;0;0;0;0;0;0
Crossfit Bars N Rings;2021/10;0;0;0;0;0;10056
Allinea Pilates;2021/10;0;0;0;0;0;1121
Champion Training;2021/10;0;0;0;0;0;0
Stone fit centro de treinamento;2021/10;0;0;0;0;0;0
CF Betterlife;2021/10;0;0;0;0;0;0
UBKN FITNESS;2021/10;0;0;0;0;0;0
Espaço Vibre;2021/10;0;0;4878;0;0;17756
CrossFit Gade;2021/10;0;0;0;0;0;0
Rústica;2021/10;0;0;0;0;0;140
Ct Energia Thai Leonardo Team;2021/10;0;0;0;0;0;0
CH TRAINING BOX;2021/10;0;0;0;0;0;0
Life+ Cross Training;2021/10;0;0;0;0;0;0
CT VIKINGS BOX 01;2021/10;0;0;0;0;0;0
3050 CrossFit;2021/10;0;0;0;0;0;0
Vida Ativa Oficina de Saúde;2021/10;0;0;0;;;0
RITMEI CAMBUI;2021/10;0;0;0;;;151
Empire Training;2021/10;0;0;0;0;0;0
RTF Studio;2021/10;0;0;0;0;0;0
HM PERSONAL STUDIO;2021/10;0;0;0;0;0;560
Funcional Academia Personalizada;2021/10;0;0;0;0;0;11309
4ALL Gym & Wellness;2021/10;0;0;1853;1853;0;100
Crossfit Pumawari;2021/10;0;0;1177;1177;0;0
Olímpia Fitness;2021/10;0;0;0;0;0;1036
IAR CROSS TRAINING;2021/10;0;0;0;0;0;0
BOX Full Energy - Treinamento Funcional e Nutrição;2021/10;0;0;226;226;0;0
Dojo Fight;2021/10;0;0;0;0;0;2000
Bôtos GYM - Piúma;2021/10;0;0;0;0;0;410
CrossFit 567 - Campeche;2021/10;0;0;3561;3561;0;0
Bini Sports & Escola Coxa;2021/10;0;0;0;0;0;0
CFJF2;2021/10;0;0;2087;1014;0;5670
DRAIOHN TREINAMENTO FÍSICO FUNCIONAL;2021/10;0;0;0;0;0;7463
K2 Trindade;2021/10;0;0;0;0;0;10879
Fullife Treinamento Físico Personalizado;2021/10;0;0;0;0;0;0
Brave Community Fitness;2021/10;0;0;3396;3396;0;0
TUDORS CROSSFIT E LANCHONETE LTDA;2021/10;0;0;2747;0;0;50601
Studio Cross- Unidade 02;2021/10;0;0;0;0;0;0
Santa Fé Team;2021/10;0;0;0;0;0;1708
Morada Fitness;2021/10;0;0;0;0;0;0
Academia Body Fit - Unidade 3;2021/10;0;0;0;0;0;0
Cross Nutrition Box PedroMoro;2021/10;0;0;0;0;0;0
CrossFit Blessed;2021/10;0;0;0;0;0;0
Vigor Trainer;2021/10;0;0;0;0;0;0
FITNESS CARE - BEM ESTAR;2021/10;0;0;299;0;0;0
CrossFit Equifavela;2021/10;0;0;249;0;0;2892
crossfit agreste;2021/10;0;0;209;209;0;0
Iron Cross;2021/10;0;0;0;0;0;0
Crossfit Campo Belo;2021/10;0;0;4766;3873;893;0
CROSSFIT UBERABA;2021/10;0;0;0;0;0;6950
ACADEMIA LIDER DE ARTES;2021/10;0;0;0;;;0
Academia Total Gym;2021/10;0;0;0;0;0;0
Ana Elena Pole Dance;2021/10;0;0;0;0;0;2012
villarinho treinamentos esportivos ltda;2021/10;0;0;0;0;0;0
CrossFit 035;2021/10;0;0;436;436;0;0
CrossFit Saquarema;2021/10;0;0;0;0;0;0
Studio Edu Castor - Treinamento Funcional Personalizado;2021/10;0;0;0;0;0;8536
Base Natal;2021/10;0;0;420;420;0;0
SuperForce Cristo;2021/10;0;0;2497;2497;0;36050
Pole House Studio;2021/10;0;0;0;0;0;0
MARCOS MAGGIO;2021/10;0;0;0;0;0;0
CrossFit Bel01;2021/10;0;0;0;0;0;1550
Top Pilates;2021/10;0;0;553;553;0;5708
Crossfit Santarena;2021/10;0;0;0;0;0;0
4024;2021/10;0;0;0;;;
08 PHD SPORTS - FAZENDINHA 4025;2021/10;0;0;0;0;0;1263
Companhia do Corpo Academia;2021/10;0;0;1100;1100;0;8655
Box Arena;2021/10;0;0;103;103;0;8071
UNIKA CROSSFIT;2021/10;0;0;0;0;0;0
Crossfit Itajuba;2021/10;0;0;0;0;0;11799
Exclusive Compact Gym;2021/10;0;0;0;;;
A1 BOX;2021/10;0;0;0;0;0;0
CROSS TRAINING CORPUS;2021/10;0;0;0;0;0;0
5143 CrossFit;2021/10;0;0;0;0;0;0
Crossfit VOLT;2021/10;0;0;198;198;0;0
Zaki Crossfit;2021/10;0;0;0;0;0;0
MOVFISIO SAÚDE INTEGRATIVA;2021/10;0;0;283;283;0;5825
SUPERFORCE CROSSFIT TRES FIGUEIRAS;2021/10;0;0;1196;1196;0;23342
Wol Pilates Lago Norte;2021/10;0;0;0;0;0;0
Just Life Clinica de Atividade Física;2021/10;0;0;288;288;0;0
TOP WOD;2021/10;0;0;0;0;0;0
ACADEMIA IN CORPORE;2021/10;0;0;238;238;0;0
Fit and SPA by Shishindo;2021/10;0;0;327;327;0;380
OZ Jiu Jitsu;2021/10;0;0;0;0;0;1485
Capital do Remo;2021/10;0;0;1765;1765;0;27314
Cross Pato;2021/10;0;0;0;0;0;0
VERITAS CORPO E MENTE;2021/10;0;0;0;0;0;0
CrossFit Perdizes;2021/10;0;0;290;0;0;0
Hangar 193 CrossFit;2021/10;0;0;28553;28553;0;0
Panzeri Fitness;2021/10;0;0;0;0;0;0
Cross Nutrition Jundiaí;2021/10;0;0;0;0;0;0
HT Funcional;2021/10;0;0;0;0;0;2592
Balance Academia de Dança e Luta;2021/10;0;0;0;0;0;8426
Estúdio de Dança DBM;2021/10;0;0;0;0;0;0
Living for CrossFit;2021/10;0;0;290;290;0;0
Cia da Água;2021/10;0;0;0;0;0;0
30 PHD SPORTS - Picheth;2021/10;0;0;0;0;0;0
D45 Fitness;2021/10;0;0;1353;0;1353;6183
Telmo Nascimento Jiu Jitsu;2021/10;0;0;0;0;0;0
Studio Marcel Duarte;2021/10;0;0;0;0;0;0
Connect - Maringá;2021/10;0;0;1049;1049;0;30847
Lajaica Centro de Treinamento;2021/10;0;0;0;0;0;0
PILATES HOUSE;2021/10;0;0;0;0;0;0
12 PHD SPORTS - XAXIM 4337;2021/10;0;0;243;243;0;54501
Bôto's Gym Iconha;2021/10;0;0;0;0;0;1800
Bôto's Gym Anchieta;2021/10;0;0;0;0;0;7875
CAVALEIROS CROSSFIT;2021/10;0;0;579;0;0;2619
estacao fitnes;2021/10;0;0;0;0;0;0
Cave Wolf Box;2021/10;0;0;0;0;0;0
OUROFIT;2021/10;0;0;0;;;0
Village BT;2021/10;0;0;309;309;0;6706
Crossfit Kahuna;2021/10;0;0;1569;0;1569;0
Studio Cross 7 Assessoria Esportiva;2021/10;0;0;0;0;0;0
AK One Fitness;2021/10;0;0;0;0;0;0
Studio Fitclass Personal Trainer;2021/10;0;0;0;0;0;0
Taboão da Serra Crossfit/Gracie Barra Jiu Jitsu;2021/10;0;0;0;0;0;0
Goatbox Cross Training;2021/10;0;0;0;0;0;0
The Fit Box;2021/10;0;0;0;0;0;0
Box 675;2021/10;0;0;0;0;0;0
Life cross training Campina Grande do Sul;2021/10;0;0;399;399;0;0
CROSSFIT BLUMENAU;2021/10;0;0;0;0;0;0
Box 28;2021/10;0;0;0;0;0;2991
SAUT;2021/10;0;0;0;0;0;0
Killer Bees Cabral;2021/10;0;0;1605;1605;0;0
Crossfit MUV;2021/10;0;0;13079;11931;0;38044
Amaral Natação;2021/10;0;0;275;0;0;0
ACADEMIA NEW FIT;2021/10;0;0;0;;;0
Academia Invictus;2021/10;0;0;482;482;0;0
CF Caves;2021/10;0;0;0;0;0;0
ACADEMIA GRAN FIT;2021/10;0;0;0;0;0;0
Leo Chamma Treinamento Personalizado;2021/10;0;0;1152;1152;0;0
Klippel Fitness;2021/10;0;0;0;0;0;0
Studio FitsYou Academia LTDA ME;2021/10;0;0;0;0;0;7967
FLOW TFI - TREINAMENTO FÍSICO INTEGRADO;2021/10;0;0;492;0;0;24601
BOX Orange;2021/10;0;0;0;0;0;0
Fitlife academia;2021/10;0;0;0;0;0;0
Academia Endorfit;2021/10;0;0;0;0;0;0
Academia Best Shape;2021/10;0;0;0;0;0;4517
FT TAGUATINGA;2021/10;0;0;0;0;0;0
Pa-Kua São Leopoldo;2021/10;0;0;0;0;0;0
Agility Treinamento Físico;2021/10;0;0;0;0;0;3662
Crossfit Chivunk;2021/10;0;0;0;0;0;4270
EVOLUÇÃO THAI;2021/10;0;0;0;0;0;0
Gfteam Vitoria;2021/10;0;0;0;0;0;0
Pole Voe Arte e Cultura;2021/10;0;0;0;0;0;0
Cross Araraquara;2021/10;0;0;135;0;0;0
Rodrigo de Souza Magno Academia ME;2021/10;0;0;0;0;0;0
23 PHD SPORTS - TINGUI 4630;2021/10;0;0;88;88;0;5898
Andre Hauer - Personal Trainer;2021/10;0;0;0;0;0;0
MD Treinamento Funcional;2021/10;0;0;0;0;0;0
CrossFit Taura;2021/10;0;0;0;0;0;0
Cluster - Jardim Mirante;2021/10;0;0;0;0;0;0
Baby Gym Zona Sul Poa;2021/10;0;0;0;0;0;0
CrossFit Arzo One;2021/10;0;0;0;0;0;0
Ativus;2021/10;0;0;0;0;0;0
Centro de Treinamento Luis Oliveira;2021/10;0;0;480;480;0;3536
Crossfit Itaperuna;2021/10;0;0;1662;0;0;149
ACADEMIA FITNESS CLUB;2021/10;0;0;18271;14936;0;6525
Arena Funcional;2021/10;0;0;0;0;0;0
Dinamus Gym;2021/10;0;0;0;0;0;0
RM Treinamento Fisico Funcional;2021/10;0;0;0;0;0;0
